gold,greedy_correct,greedy_latency_s,greedy_pred,greedy_tokens,idx,sc_correct,sc_latency_s,sc_pred,sc_tokens
7500,0,16.118013225030154,2,256,0,0,32.48685056203976,1,512
675,0,15.47332561085932,2,256,1,0,32.59714541235007,2,512
12,0,15.503830817062408,2,256,2,0,32.48134301532991,2,512
12,0,15.495469331974164,4,256,3,0,32.56716341013089,1,512
105,0,15.595233764033765,2,256,4,0,32.65533807477914,2,512
74,0,15.54611321608536,132,256,5,0,32.616876987274736,2,512
520,0,15.56100574391894,2,256,6,0,32.61799661023542,2,512
4,0,16.631859445013106,2,256,7,1,34.235190702136606,4,512
2,1,15.6203331889119,2,256,8,0,32.61957308114506,1,512
91,0,15.531991390977055,2,256,9,0,32.51418494875543,2,512
5,0,15.50524027692154,"2,",256,10,0,32.458902097539976,45,512
220,0,15.464560822118074,2,256,11,0,32.48951666848734,2,512
3,0,15.505713562946767,2,256,12,0,32.546081957640126,2,512
160,0,15.493366742040962,2,256,13,0,32.50572603591718,1,512
10,0,15.582542466931045,2,256,14,0,32.66705465503037,2,512
40,0,15.492708433186635,1,256,15,0,32.46433650911786,2,512
350,0,15.496360233984888,2,256,16,0,32.7273013938684,1,512
100,0,15.555817179847509,2,256,17,0,32.554764767410234,2,512
57500,0,15.526260803919286,2,256,18,0,32.53889961214736,2,512
2600,0,15.553090144880116,2,256,19,0,32.55678110313602,2,512
16,0,15.545315520837903,2,256,20,0,32.596487189643085,2,512
20,0,15.66758013679646,2,256,21,0,32.73178044799715,2,512
50,0,15.560819927137345,"24,",256,22,0,32.659531680867076,24,512
4,0,15.543130550067872,2,256,23,0,32.60781402583234,2,512
175,0,15.511092473985627,45,256,24,0,32.63993623317219,20,512
12,0,15.575724059017375,2,256,25,0,32.683014180511236,4,512
300,0,15.57793968101032,2,256,26,0,32.77228290261701,2,512
7,0,15.597510813968256,2,256,27,0,32.667554321698844,4,512
7,0,15.460852480027825,2.00,256,28,0,32.40775312273763,1,512
120,0,15.526767577044666,15,256,29,0,32.336577095557004,40,512
90,0,15.453711329959333,2,256,30,0,32.365501544903964,2,512
68,0,15.429016300011426,25,256,31,0,32.37975273584016,2,512
5,0,15.486466236179695,2,256,32,0,32.52606754703447,2,512
25,0,15.46445042011328,2,256,33,0,32.39878988987766,2,512
120000,0,15.485030337003991,2,256,34,0,32.43719355505891,2,512
240,0,15.485762279015034,2,256,35,0,32.400956003693864,2,512
50,0,15.45373366586864,2,256,36,0,32.551558871986344,1,512
10,0,15.464246220886707,2,256,37,0,32.45371694909409,2,512
150,0,15.484532833099365,50,256,38,0,32.47134403535165,2,512
6,0,15.48477728292346,2,256,39,0,32.38536378578283,2,512
54,0,15.472580916946754,10,256,40,0,32.366370492149144,68,512
26,0,15.437364065088332,2,256,41,0,32.385188463144004,1,512
15,0,15.497364907059819,2,256,42,0,32.43844593083486,2,512
"2,125",0,15.53737866296433,2,256,43,0,32.60206317808479,2,512
34,0,15.565980327082798,7,256,44,0,32.66737645491958,2,512
40,0,15.491589329903945,2,256,45,0,32.48994619376026,5,512
160,0,15.473632015986368,2,256,46,0,32.520454805810004,1,512
70,0,15.517482650931925,2,256,47,0,32.68647049134597,2,512
16,0,15.479398299008608,2,256,48,0,32.48269244818948,2,512
36,0,15.506260819034651,2,256,49,0,32.43316931789741,40,512
81,0,15.486823162995279,30,256,50,0,32.376906908117235,8,512
60,0,15.449290313990787,2,256,51,0,32.414188146125525,2,512
15,0,15.477596698096022,2,256,52,0,32.41536794626154,1,512
20,0,15.4671747230459,3,256,53,0,32.382315730908886,2,512
6,0,15.462504508905113,2,256,54,0,32.530204609036446,2,512
80,0,15.477559090126306,4,256,55,0,32.486070822924376,20,512
6,0,15.530564108164981,2,256,56,0,32.57903647609055,400,512
85,0,15.524112368002534,2,256,57,0,32.496442220173776,2,512
28,0,15.552396598039195,1,256,58,0,32.59005391225219,85,512
560,0,15.535748982103541,2,256,59,0,32.52905708993785,70,512
88,0,15.516901514027268,2.74,256,60,0,32.66113421693444,1,512
36,0,15.536764641990885,5,256,61,0,32.58104630350135,8,512
25,0,15.546791770029813,5,256,62,0,32.61904767900705,2,512
5,0,15.470428896835074,1,256,63,0,32.382453738711774,180,512
8,0,15.443098778137937,2,256,64,0,32.41503997868858,2,512
4,0,15.508380833081901,2,256,65,0,32.54837729688734,2,512
168,0,15.51233491813764,3,256,66,0,32.54439630568959,1/3,512
26,0,15.518775879172608,2,256,67,0,32.60335890878923,1,512
440,0,15.534976130817086,2,256,68,0,32.595456139650196,25,512
3000,0,15.52545487205498,2,256,69,0,32.48801800166257,2,512
150,0,15.52380743296817,2,256,70,0,32.749897143105045,3,512
