test_csv,idx,mode,key,chosen_budget,best_budget,correct,tokens,utility
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,0,first2,in|the,1024,2048,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,1,first2,on|the,4096,1024,1,1201.0,0.64814453125
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,2,first2,it|is,1024,2048,1,1002.0,0.7064453125000001
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,3,first2,which|sentence,4096,2048,1,2858.0,0.16269531250000002
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,4,first2,sort|the,1024,1024,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,5,first2,complete|the,1024,1024,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,6,first2,jane|quited,4096,4096,1,3241.0,0.050488281250000044
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,7,first2,alice|bob,4096,1024,1,905.0,0.73486328125
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,8,first2,the|following,2048,4096,0,2048.0,-0.6
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,9,first2,alice|bob,4096,1024,1,890.0,0.7392578125
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,10,first2,how|would,1024,1024,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,11,first2,false|and,1024,1024,0,897.0,-0.26279296874999997
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,12,first2,on|the,4096,4096,1,1307.0,0.6170898437500001
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,13,first2,4|5,2048,2048,1,1604.0,0.530078125
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,14,first2,false|or,1024,1024,0,1024.0,-0.3
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,15,first2,alice|bob,4096,4096,1,3294.0,0.03496093750000007
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,16,first2,1|2,2048,2048,1,1527.0,0.5526367187500001
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,17,first2,question|maybelle,2048,1024,0,1930.0,-0.5654296875
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,18,first2,which|of,2048,2048,1,830.0,0.7568359375
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,19,first2,6|0,2048,2048,1,1568.0,0.540625
