test_csv,idx,chosen_budget,best_budget,correct,tokens,utility,p_correct_512,p_correct_1024,p_correct_2048
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,0,2048,512,0,2112.0,-0.1546875,0.0012740719060223389,0.032958859840776386,0.18694573443677617
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,1,2048,512,0,2014.0,-0.14750976562499998,0.000866863189796535,0.0766759551764434,0.5855424478214367
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,2,2048,2048,1,1977.0,0.8552001953125,0.0009324455471712812,0.05737980480824675,0.5660742508025797
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,3,2048,2048,1,2048.0,0.85,0.0008022581225791169,0.05184460381450457,0.6798679531626624
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,4,2048,512,0,2048.0,-0.15,0.0007748912125651149,0.035809998501222094,0.36805162507105915
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,5,2048,2048,1,2048.0,0.85,0.0011102368149975873,0.055421089399890294,0.3585720029576733
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,6,2048,512,0,2112.0,-0.1546875,0.001313056099430275,0.028311197346249338,0.3029796957834712
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,7,2048,1024,1,2048.0,0.85,0.0008972679548704266,0.05525016248560749,0.6188531922345604
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,8,2048,1024,1,2048.0,0.85,0.000924108825488484,0.04528335801676852,0.35224696008014983
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,9,2048,1024,1,2048.0,0.85,0.0008257081934610267,0.0988655761270909,0.6649207506084935
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,10,2048,512,0,2112.0,-0.1546875,0.0011700071642887406,0.03157007426547659,0.1944218813084059
